user_name,location,friends,followers,created_date,text_raw
stonecolekam,"Dreamville,U.S.A.",534,284,2020-12-13T23:06:45,"RT @CoriBush: They had the money for endless wars. 

They had the money for Wall Street bailouts. 

They have the money for pandemic surviv…"
AkhavanKayvan,"Mission Viejo, CA",31,182,2020-12-13T23:06:46,"RT @CoriBush: They had the money for endless wars. 

They had the money for Wall Street bailouts. 

They have the money for pandemic surviv…"
Stonekeeper3,None,35094,34291,2020-12-13T23:06:46,RT @realDonaldTrump: A big disappointment! https://t.co/esmB5HrJlH
Kyle13Humphreys,None,546,611,2020-12-13T23:06:48,RT @GatorRyan: Jfc Marco made us a laughing stock to the point where the dude from the GW Bush shoe incident commented on it
Salty_Swift,Saturn,2264,701,2020-12-13T23:06:49,RT @washingtonpost: Perspective: The Wall Street Journal column about Jill Biden is worse than you thought https://t.co/5Q3ubkie2c
its___anonymous,Mars,3203,3178,2020-12-13T23:06:49,@Ayotund3 This the guy from Wolf of Wall Street yeah
sunnyek,USA,6336,6809,2020-12-13T23:06:49,"RT @elizableu: “When something is important enough, you do it even if the odds are not in your favor.”
- Elon Musk

The odds of ending huma…"
allejandroreyes,"Houston, TX",315,258,2020-12-13T23:06:49,Hopefully the stock market can provide me with money for Christmas gifts 🤡
Jemimahere,None,1368,180,2020-12-13T23:06:49,"RT @kpoppingcom: ALBUM or LIGHTSTICK GIVEAWAY 💿🔦

▫️ Worldwide
▫️ RT &amp; Must be following @kpopmart &amp; @kpoppingcom 
▫️ Ends December 15th
▫️…"
imquitescared,"Long Beach, CA",448,362,2020-12-13T23:06:50,RT @kenklippenstein: The pandemic is causing a 9/11 death toll every day and this is what the media chooses to focus on. Awesome
Kicksandtee,"Dallas, Texas",294,270,2020-12-13T23:06:50,@RocketsPlsWin Heat really need to trade Herro if his hype is like this to where we talking about trading him for H… https://t.co/TVcJwQtsfn
ALagunis,None,115,18,2020-12-13T23:06:51,@KonRoditis @bittergertrude @tedcruz Oracle has a Trump supporting CEO and Elon has been planning a move for awhile… https://t.co/HXIxs2E2YT
WHITEFX84,None,37,14,2020-12-13T23:06:53,"RT @Investingcom: ⚠️BREAKING:

*SUNDAY NIGHT FUTURES OPEN HIGHER AS WALL STREET BRACES FOR ANOTHER EVENTFUL WEEK

$DIA $SPY $QQQ $IWM $VIX…"
emceebeere,None,3967,878,2020-12-13T23:06:53,"RT @karamballes: 3/ ""But Sweden""...""learn to live with it"".. ""GBD""

Sweden schools are shutting early for Christmas to try and prevent what…"
uwutism,hails ෆ,743,2203,2020-12-13T23:06:54,@opidied yeee that’s my issue i wna sell my old gpu before new stock comes in so i can sell it before the price crashes &gt;.&lt;
DBcapital824,"Miami, FL",204,437,2020-12-13T23:06:55,"RT @Investingcom: ⚠️BREAKING:

*SUNDAY NIGHT FUTURES OPEN HIGHER AS WALL STREET BRACES FOR ANOTHER EVENTFUL WEEK

$DIA $SPY $QQQ $IWM $VIX…"
bunbun_gguk,she/her 22,113,87,2020-12-13T23:06:57,"RT @wohcuIt: y’all putting wayyy too much stock in small shit. create a positive space for yourselves, stop blowing up non-issues, think fo…"
